APP_LOG: 2024/12/04 14:01:10 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:13 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:16 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:19 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:22 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:25 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:28 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:31 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:34 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:37 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:40 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:43 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:46 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:49 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:52 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:55 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:01:58 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:02:01 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:02:04 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:02:07 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:02:10 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:02:13 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:02:16 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:02:19 logger.go:32: Method: GET, Path: /metrics, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:07:56 logger.go:32: Method: GET, Path: /users/profile, Status: 200, Duration: 1.2818ms
APP_LOG: 2024/12/04 14:07:56 logger.go:32: Method: GET, Path: /products, Status: 200, Duration: 14.3056ms
APP_LOG: 2024/12/04 14:07:56 logger.go:32: Method: GET, Path: /categories, Status: 200, Duration: 137.3µs
APP_LOG: 2024/12/04 14:07:59 logger.go:32: Method: GET, Path: /users/profile, Status: 200, Duration: 876.4µs
APP_LOG: 2024/12/04 14:07:59 logger.go:32: Method: GET, Path: /products, Status: 200, Duration: 295.8µs
APP_LOG: 2024/12/04 14:07:59 logger.go:32: Method: GET, Path: /categories, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:08:03 logger.go:32: Method: GET, Path: /users/profile, Status: 200, Duration: 1.0723ms
APP_LOG: 2024/12/04 14:08:03 logger.go:32: Method: GET, Path: /products, Status: 200, Duration: 696.1µs
APP_LOG: 2024/12/04 14:08:03 logger.go:32: Method: GET, Path: /categories, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:08:48 logger.go:32: Method: PATCH, Path: /products/1, Status: 400, Duration: 0s
APP_LOG: 2024/12/04 14:08:51 logger.go:32: Method: PATCH, Path: /products/1, Status: 400, Duration: 0s
APP_LOG: 2024/12/04 14:09:20 logger.go:32: Method: PATCH, Path: /products/1, Status: 200, Duration: 21.0768ms
APP_LOG: 2024/12/04 14:09:29 logger.go:32: Method: GET, Path: /users/profile, Status: 200, Duration: 877.1µs
APP_LOG: 2024/12/04 14:09:30 logger.go:32: Method: GET, Path: /products, Status: 200, Duration: 192.4µs
APP_LOG: 2024/12/04 14:09:30 logger.go:32: Method: GET, Path: /categories, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:09:32 logger.go:32: Method: GET, Path: /users/profile, Status: 200, Duration: 539.3µs
APP_LOG: 2024/12/04 14:09:32 logger.go:32: Method: GET, Path: /products, Status: 200, Duration: 201.7µs
APP_LOG: 2024/12/04 14:09:32 logger.go:32: Method: GET, Path: /categories, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:11:35 logger.go:32: Method: GET, Path: /users/profile, Status: 200, Duration: 1.4355ms
APP_LOG: 2024/12/04 14:11:36 logger.go:32: Method: GET, Path: /products, Status: 200, Duration: 9.7766ms
APP_LOG: 2024/12/04 14:11:36 logger.go:32: Method: GET, Path: /categories, Status: 200, Duration: 210.3µs
